department,province,district,ubigeo,population_permanent,idh,monetary_poverty,life_expectancy,complete_secondary_edu,years_edu,family_income,number_hh,hh_1_nbi_or_more,hh_inadequate_char,overcrowded_hh,hh_wo_sanitation,hh_school_absence,hh_high_economic_dependence,life_expectancy_norm,years_edu_norm,edu_achievement,family_income_norm,aai,co,ntl,no2,o3,pm25,so2,tmmn,tmmx,new_cases,cases_full_total,cases_study_total,cases_work_total,cases_full_intra,cases_study_intra,cases_work_intra,cases_full_inter,cases_study_inter,cases_work_inter,in_degree,out_degree,degree,in_strength,out_strength,strength,in_closeness,out_closeness,closeness,betweenness,eigenvector,page_rank,authority,hub
LIMA,LIMA,LIMA,150101,257461,0.746010874,7.958983999999999,81.88344389,78.26915559999999,11.0691,1545.246473,78665,5598,527,4244,33,847,246,0.9480573981666666,0.6527535211267605,0.7866688025360907,0.6126760539553753,0.6032330033478043,0.6922843207940235,0.7145401491087998,0.6863196683555964,0.49622140774085266,0.8583878652854078,0.09081019146027268,0.7485495320119826,0.5623585090208241,335,198625,76286,128423,111416,44656,71478,87209,31630,56945,41,41,82,3.1189609143553585,0.5527411161692026,3.67170203052456,0.06482421641230603,0.009902316746439375,0.06494129809628497,0.42378048780487804,0.8934898919207425,0.10082886175461159,1,0.522196700924764
LIMA,LIMA,ANCON,150102,59255,0.656473404,19.246935,78.39112846,72.4031961,9.1395,1316.098572,17454,3565,2267,1052,199,237,121,0.8898521410000001,0.5168661971830987,0.6781847035829609,0.519715445030426,0.4795618884369355,0.6377837689459304,0.02611452532136347,0.33082187273804037,0.4615813511098006,0.7955565914057555,0.14191700417054698,0.6769719109829577,0.5454880012704763,47,43689,18007,26782,26175,12602,14358,17514,5405,12424,39,40,79,0.08671994791759163,0.6054584903505764,0.692178438268168,0.005968707550911054,0.0105315488530399,0.03624505179878827,0.024390243902439025,0.009063753646886332,0.004954574567759938,0.020882938362833704,0.52955794873033
LIMA,LIMA,ATE,150103,579105,0.700430248,17.174936,81.02624099,76.6107408,9.8385,1412.473337,164985,26278,11306,12354,2071,2374,1121,0.9337706831666668,0.5660915492957747,0.7270486178521987,0.5588127127789047,0.5909809704927729,0.7427875333586189,0.40090013888492,0.9916759886819764,0.5244891042618126,0.831508063669939,0.11523800129241596,0.6772991068680034,0.5742748272119644,737,448272,188047,273129,288386,135664,163275,159886,52383,109854,41,41,82,1.2055170032776437,0.6358530452947724,1.8413700485724163,0.021392790808368017,0.010366322729703377,0.038292720128299075,0.11341463414634147,0.3043325597231179,0.037439553752211,0.3681963150826642,0.6725330576363484
LIMA,LIMA,BARRANCO,150104,32895,0.801234733,3.1723250000000003,81.6758793,78.65707429999999,12.3323,1792.368661,11477,357,38,271,0,57,9,0.9445979883333334,0.7417112676056338,0.8370298509040454,0.7129284628803245,0.4947712939438974,0.669980033236176,0.6239732558266001,0.5114496282160952,0.4912402255402772,0.8366608114930641,0.10354932837563996,0.7471328326415798,0.5479985981297009,16,25843,8633,17727,10200,4078,6353,15643,4555,11374,41,38,79,0.24643301328127257,0.6762130026209807,0.9226460159022531,0.014251196689796016,0.010896069643534845,0.040284264916841055,0,0.11116512174157168,0.014754411187404412,0.07719199359812488,0.9516449145056094
LIMA,LIMA,BREÑA,150105,81222,0.785999689,4.041467,81.40812591,79.2611895,11.7399,1744.292935,25494,1336,131,1045,0,169,28,0.9401354318333331,0.69999295774647885,0.8112263442537342,0.6934251257606491,0.5698653951725466,0.6744788196259736,0.6534584170745111,0.6442718957689016,0.5108902718673198,0.8898075075679277,0.08897640132763243,0.7533922461548899,0.556452566127806,58,64917,24750,41733,27048,12037,15756,37869,12713,25977,41,41,82,0.3649266501321005,0.6033695106815598,0.9682961608136602,0.022110849905666953,0.009679639398820262,0.04640464486380882,0,0.15375076717472713,0.019973329237309836,0.11400462797108456,0.8910039675927335
LIMA,LIMA,CARABAYLLO,150106,320618,0.662879143,19.176021,79.77456893,74.4076833,9.4495,1277.25578,86847,15786,7864,6681,1230,1229,675,0.9129094821666668,0.5386971830985916,0.7012715354747955,0.5039577200811359,0.575737300992072,0.7180668459461089,0.08391975606902327,0.7249786142001711,0.4444840752493323,0.758511062150278,0.11313429060914428,0.6516143902823698,0.547991242038589,339,241846,105760,140524,134937,69307,68235,106909,36453,72289,38,41,79,0.1195144091951521,0.5985183660870458,0.718032775282198,0.008300561611361341,0.010411661282225424,0.03829179370254093,0,0.017586267700000678,0.005949351445677613,0.03376711874251089,0.5753944727335618
LIMA,LIMA,CHACLACAYO,150107,41235,0.727064248,9.712625,82.76369048,78.0766852,10.765,1436.651195,11233,1006,150,590,130,123,76,0.9627281746666666,0.6313380281690141,0.779619719771638,0.5686211744421906,0.3628927131273838,0.6705370068533952,0.09404061562754527,0.8618477331052181,0.3843709771316571,0.6977516834306842,0.11477746674468914,0.625181192659914,0.561945839109257,56,31317,12894,19111,16225,7549,9012,15092,5345,10099,41,39,80,0.06762310977361076,0.6255632122979062,0.6931863220715173,0.010315675580475463,0.010191796182581004,0.037123582053808966,0,0.013478243952311418,0.005192670963840075,0.01780206020511439,0.656701055939387
LIMA,LIMA,CHORRILLOS,150108,304295,0.738221736,11.60839,81.1497121,77.0687263,10.6115,1567.361684,82969,8777,3076,4752,283,965,369,0.935828535,0.6205281690140845,0.7620419721607748,0.6216477419878296,0.5156252869684057,0.6681003896537311,0.46442554565764305,0.4411067973942225,0.4665775656846428,0.7766601712029767,0.11257079667612507,0.7494668176280418,0.5514031976906363,301,239661,97200,148753,143071,66431,81302,96590,30769,67451,41,41,82,0.6768463176840384,0.6482658660316802,1.3251121837157187,0.01906545180758549,0.011377417327741121,0.039017687057505,0.17134146341463416,0.21449481520816605,0.02643559433678558,0.20884029341234986,0.8009376005075832
LIMA,LIMA,CIENEGUILLA,150109,32697,0.650977805,17.529394,78.00235269,69.9186992,9.1529,1314.35109,9623,2206,1335,774,219,116,62,0.8833725448333333,0.5178098591549297,0.6763275929765694,0.5190065273833672,0.47019589056632577,0.6397471294217612,0.0304820586534748,0.6349608475356977,0.4895279014532206,0.686098573197442,0.1181793004884717,0.6432347359463784,0.5685961520161524,20,25253,10528,15200,13870,5956,8238,11383,4572,6962,40,39,79,0.04141264243276364,0.5813933058069048,0.6228059482396686,0.005841699296501314,0.012177360993915406,0.03462777776468976,0,0.00796644508378727,0.004515320172153431,0.012074566617269758,0.5958297294097109
LIMA,LIMA,COMAS,150110,504617,0.7081597,16.044522999999998,81.63203158,78.2665066,10.0771,1408.146118,132726,17192,5943,9080,1171,1934,954,0.943867193,0.582894366197183,0.7417377361561492,0.5570572486815415,0.6686010988235522,0.7958868238721852,0.4235883370236022,0.861716128183194,0.43202087040179826,0.8298304849004524,0.1203623177252794,0.7243281006529445,0.5608909532912516,570,376377,154647,229901,218557,108039,115925,157820,46608,113976,40,41,81,0.37849950300295226,0.6357685971359777,1.0142681001389295,0.010883208917103235,0.010514402735240255,0.04216317946932121,0.025609756097560974,0.05788230174738716,0.011254190663993715,0.10415565542631858,0.7029778972607064
